source,author,title,description,url,urlToImage,publishedAt,content,sent_pos,sent_neg,sent_neutral,date
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Brayden Lindrea,Rep. Steil urges restraint on adding ‘non-germane items’ to crypto bills,"US Representative Bryan Steil wants lawmakers to stop adding “non-germane items” into two key crypto bills, claiming that doing so is slowing the implementation of a regulatory framework for the industry.“Individuals, when they see legislation that’s going to…",https://cointelegraph.com/news/steil-wants-lawmakers-restrain-adding-non-relevant-items-crypto-bills,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-12/019409cc-939a-7645-b856-8e81a6820b98",2025-05-28T04:46:29Z,"US Representative Bryan Steil wants lawmakers to stop adding non-germane items into two key crypto bills, claiming that doing so is slowing the implementation of a regulatory framework for the indust… [+3047 chars]",0.0,0.0,0.8806772828102112,2025-05-28
"{'id': None, 'name': 'Forbes'}","Fatemeh Fannizadeh, Contributor, 
 Fatemeh Fannizadeh, Contributor
 https://www.forbes.com/sites/fatemehfannizadeh/",Digital Freedom Declaration Presses EU For Clear Rules On Privacy Tech,"By endorsing the Digital Freedom Declaration. stakeholders call the EU to adopt “sound, proportionate regulation” that protects innovation in crypto privacy.",https://www.forbes.com/sites/digital-assets/2025/05/28/digital-freedom-declaration-presses-eu-for-clear-rules-on-privacy-tech/,https://imageio.forbes.com/specials-images/imageserve/6836392eae58357f2862ee5c/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-05-28T04:43:29Z,"Joachim Schwerin, principal economist at the European Commission in discussion with Judith De Boer, ... More Alexey Pertsev's lawyer
EthDam, Amsterdam 2025
Launched in May 2025, the Digital Freedom… [+5010 chars]",0.0,0.0,0.9260832071304321,2025-05-28
"{'id': None, 'name': 'Biztoc.com'}",ft.com,Bitcoin price surge encourages more companies to acquire crypto,Many digital asset firms are trying to emulate software group Strategy’s success,https://biztoc.com/x/80d532825d65ae09,https://biztoc.com/cdn/80d532825d65ae09_s.webp,2025-05-28T04:33:42Z,"Many digital asset firms are trying to emulate software group Strategys success
This story appeared on ft.com, 2025-05-28 04:00:46.",0.8879476189613342,0.0,0.0,2025-05-28
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Trump's Crypto Advisor About US Plans On Buying More Bitcoin: It All Boils Down To…,"President Donald Trump’s crypto and AI advisor, David Sacks, said Tuesday that the path to acquiring Bitcoin (CRYPTO: BTC) for the strategic reserve is ready, and it’s just a matter of getting the relevant executive departments “excited.”
What happened: Durin…",https://biztoc.com/x/5b10490c0adb1deb,https://biztoc.com/cdn/5b10490c0adb1deb_s.webp,2025-05-28T04:22:28Z,"President Donald Trumps crypto and AI advisor, David Sacks, said Tuesday that the path to acquiring Bitcoin (CRYPTO: BTC) for the strategic reserve is ready, and its just a matter of getting the rele… [+139 chars]",0.0,0.0,0.8416668176651001,2025-05-28
"{'id': None, 'name': 'Bitcoinist'}",Keshav Verma,"Bitcoin Miners Earning $50 Million Daily, How Does It Compare Historically?","On-chain data shows the Bitcoin miners are currently making more than $50 million in daily revenue. Here’s whether this is near the record or not. Bitcoin Miner Revenue Has Seen A Surge Recently In a new post on X, CryptoQuant author Axel Adler Jr has talked …",https://bitcoinist.com/bitcoin-miners-earning-50-million-daily-compare/,https://bitcoinist.com/wp-content/uploads/2025/05/btc_440e2e.webp,2025-05-28T04:00:33Z,"On-chain data shows the Bitcoin miners are currently making more than $50 million in daily revenue. Here’s whether this is near the record or not.
Bitcoin Miner Revenue Has Seen A Surge Recently
In… [+2805 chars]",0.0,0.0,0.8876235485076904,2025-05-28
"{'id': None, 'name': 'newsBTC'}",Christian Encila,"Tether’s 2-Year, $5 Billion Investment Blitz Fuels US Companies: CEO","Tether, the issuer of the USDT stablecoin, has quietly funneled roughly $5 billion of its earnings into a mix of US businesses and government debt over the past two years. It’s putting money where its mouth is. According to CEO Paolo Ardoino, these moves are …",http://www.newsbtc.com/altcoin/tethers-2-year-5-billion-investment-blitz-fuels-us-companies-ceo/,https://www.newsbtc.com/wp-content/uploads/2025/05/a_34153d.jpg?fit=3000%2C1688,2025-05-28T04:00:15Z,"They say journalists never truly clock out. But for Christian, that's not just a metaphor, it's a lifestyle. By day, he navigates the ever-shifting tides of the cryptocurrency market, wielding words … [+2792 chars]",0.0,0.0,0.9291927218437195,2025-05-28
"{'id': None, 'name': 'The Daily Hodl'}",Conor Devitt,"President Trump’s Media Company To Allocate $2,500,000,000 To Buy Bitcoin (BTC)","President Donald Trump’s family media corporation plans to gobble up $2.5 billion worth of Bitcoin (BTC). Trump Media and Technology Group Corp., which operates Truth Social, announced on Tuesday that it entered into subscription agreements with approximately…",https://dailyhodl.com/2025/05/27/president-trumps-media-company-to-allocate-2500000000-to-buy-bitcoin-btc/,https://dailyhodl.com/wp-content/uploads/2025/05/media-company-bitcoin.jpg,2025-05-28T03:58:19Z,"President Donald Trump’s family media corporation plans to gobble up $2.5 billion worth of Bitcoin (BTC).
Trump Media and Technology Group Corp., which operates Truth Social, announced on Tuesday th… [+1369 chars]",0.0,0.0,0.9476750493049622,2025-05-28
"{'id': None, 'name': 'newsBTC'}",Aayush Jindal,Dogecoin (DOGE) at Risk — Can Support Hold This Time?,Dogecoin started a fresh decline from the $0.2540 zone against the US Dollar. DOGE is now consolidating losses and might extend losses below $0.2200. DOGE price started a fresh decline below the $0.2420 and $0.2400 levels. The price is trading below the $0.24…,http://www.newsbtc.com/analysis/doge/dogecoin-doge-at-risk-0-2120/,https://www.newsbtc.com/wp-content/uploads/2024/12/Dogecoin-DOGE-Slips.jpg?fit=1792%2C1024,2025-05-28T03:58:12Z,"Aayush Jindal, a luminary in the world of financial markets, whose expertise spans over 15 illustrious years in the realms of Forex and cryptocurrency trading. Renowned for his unparalleled proficien… [+3011 chars]",0.0,0.6692456007003784,0.0,2025-05-28
"{'id': None, 'name': 'Decrypt'}",Vince Dioquino,Ethereum Options Market Signals Cautious Optimism as Open Interest Climbs,"Traders are returning to Ethereum options with split expectations on price targets, even as volatility stays low.",https://decrypt.co/322370/ethereum-options-market-signals-cautious-optimism-open-interest-climbs,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2025/05/Ethereum-decrypt-style-04-gID_7.jpg,2025-05-28T03:55:55Z,"In brief
<ul><li>Amberdata data shows only a 12% chance of ETH exceeding $5,000 by December 2025.</li><li>Retail traders are targeting $3,000 while institutions eye $3,500 by June.</li><li>Open inte… [+2965 chars]",0.0,0.0,0.6288803815841675,2025-05-28
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,Japan Backs AI Chip Startup EdgeCortix in Boost to Defense Tech,,https://biztoc.com/x/93d9f7a3e2d9ac7d,https://biztoc.com/cdn/93d9f7a3e2d9ac7d_s.webp,2025-05-28T03:49:13Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Tesla sales plunge in Europe? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Salesforce's Informatica a… [+984 chars]",0.6262018084526062,0.0,0.0,2025-05-28
